cattle,B1
clothes,A1
albeit,C2
and,B1
because,A1
but,B1
as,B1
although,B1
close,C2
before,C2
after,C2
eight,A1
eighteen,A1
eleven,A1
eighth,A2
eighty,A2
insofar as,C2
fifteen,A1
five,A1
four,A1
fourteen,A1
fifth,B1
fifty,A2
forty,A2
fourth,A2
hundred,A2
if,B2
however,C2
million,A2
like,B2
or,C1
only,C2
nine,A1
nineteen,A1
one,C1
ninety,A2
ninth,A2
now,B2
once,B2
provided (that),B2
second,C2
politically,C1
plus,B2
seventy,A2
so,A2
seven,A1
seventeen,A1
six,A1
sixteen,A1
ten,A1
thirteen,A1
three,A1
to,B2
seventh,A2
sixth,A2
sixty,A2
that,B2
third,B2
thirty,A2
thousand,A2
since,B2
though,B2
till,B1
zero,B1
while,B2
whereas,B2
twelve,A1
twenty,A1
two,A1
when,B2
where,B2
unless,B1
until,B1
whenever,C2
wherever,B1
whether,B1
yet,C1
caution,C2
advertisement,A2
assert,C1
address,C2
cash,B1
acquire,B2
click,C2
bike,B1
clarification,C1
acknowledge,C1
aid,C1
applaud,C2
cease,B2
carrot,C2
character,C2
ages,B1
bunch,B1
birth,C1
approval,B2
chemical,B2
appearance,B2
assurance,C2
allowance,C1
assistance,B2
assistant,B1
coherence,C2
bestseller,B2
beginner,A2
CD player,A1
browser,B2
backpacker,B1
bumper,B2
cleaner,A2
babysitter,B1
barber,B1
builder,B1
adviser,C1
classic,B2
characteristic,C2
clothing,B2
catering,B2
central heating,B1
boxing,B1
camping,A2
backpacking,B1
booking,B1
animation,B1
allegation,C1
addition,B2
admission,B2
action,C2
collection,B2
calculation,B2
admiration,B2
ambition,B2
appreciation,B2
affection,B2
attraction,C2
celebration,B1
adoption,B2
application,C2
capitalism,C2
archaeologist,C1
clarity,C2
capacity,C1
activity,B2
argument,B2
agreement,B2
arrangement,B2
achievement,B1
adjustment,B2
assessment,B2
amazement,B2
amusement,B2
astonishment,B2
attachment,C2
appointment,C2
blindness,C2
carelessness,B2
cheerfulness,C2
coldness,C2
collector,B2
ancestor,B2
championship,B1
bravery,B2
addiction,B2
abortion,C1
animal,B2
bird,A1
cat,A1
baby,A2
bear,C2
chicken,A2
ant,B1
bat,B1
bee,B1
bug,B2
bull,B1
butterfly,B1
cage,B1
calf,C2
camel,B1
breed,B2
cell,B2
collar,B2
beak,C1
bark,C2
book,B1
camera,A1
album,A2
cartoon,A2
channel,C2
clown,A2
act,C2
ad,B1
advert,B1
article,B1
biography,B1
chapter,B1
chat show,B1
circus,B1
beat,C2
cello,B2
column,C1
bow,C2
art,C1
cable,B2
cinema,C1
brass,C2
ballet,B1
background,B2
accompany,C2
advertise,B1
broadcast,B2
arm,C2
body,C2
accident,A2
back,C2
brain,C1
cold,B1
ache,B2
ankle,B1
bottom,B1
breast,B1
cheek,B1
chin,B1
bite,B2
breakdown,C2
bruise,B2
chest,C2
antibiotic,C2
blister,C2
case,C2
blood,C2
breath,B1
care,C2
cholesterol,C1
aspirin,B1
backache,B1
bandage,B1
bone,B1
bleed,B1
catch,C2
burn,B2
bump,C1
carry,C2
attack,C2
breathe,B1
coat,A1
belt,A2
boot,B1
cap,C1
bracelet,B1
button,B1
badge,B2
bikini,B2
bra,B2
cardigan,B2
